,id,id_str,text,Emoji_Sentiment
4,1410441018374303746,1410441018374303746,RT @ACWorldBlog: UNIQLO's stunning collection of Animal Crossing: New Horizons clothing and merchandise finally comes to the US tomorrow! 🎉…,1.0
14,1410440247498854408,1410440247498854408,Side note I have only enjoyed animal crossing and BOTW but I’m…..just learning 😭,0.0
20,1410439613462638593,1410439613462638593,"RT @UniqloUSA: TOMORROW: 🎈🎁🌠🍑🐟 https://t.co/EBFaBPHzLa #ACNH #UniqloUT 
@NintendoAmerica @animalcrossing https://t.co/Ia5HNotUso",1.0
21,1410439604944134146,1410439604944134146,RT @txtstaycthinker: txt &amp; stayc as animal crossing characters — a cute thread ♡ https://t.co/Dn3hyI7xCG,1.0
36,1410438857540050947,1410438857540050947,RT @misty_horizons: is it weird that i only ever want to play animal crossing to pick weeds and shake trees? 👀,0.0
44,1410437890472022018,1410437890472022018,"RT @paranoid_ghosts: miku and rin in animal crossing style! 🌼☀️

[#HatsuneMiku #kagaminerin #初音ミク #鏡音リン #VOCALOID ] https://t.co/adPigigAuv",1.0
48,1410437342914093056,1410437342914093056,faye webster finding musical inspiration from animal crossing is something that can be so personal in the best way possible 💖💓💖💕💞💓,1.0
75,1410435048537530368,1410435048537530368,"RT @tyleroakley: 🚨 NOW STREAMING 🚨

👾: Animal Crossing
🎦: https://t.co/ABVS2HS7F4
👀: getting stoney baloney &amp; bullying WALKER and JULIA unt…",0.0
81,1410434459489341452,1410434459489341452,getting a switch soon :)) if anyone has any game reccs besides animal crossing pls lemme know 💕,1.0
87,1410434080378851332,1410434080378851332,"RT @HollowRiku: 2AM from ANIMAL CROSSING: New Horizons! ✨

▶️: https://t.co/WHChsGS7VB

I hope you're all enjoying the game!🏝️

 #ACNH #Ani…",1.0
94,1410432647239774219,1410432647239774219,"RT @knimbleyx: ✨We're getting cozy and building the Trees of Valor in Animal Crossing tonight! Come and say hello~

💕https://t.co/IjkzT6qgR…",1.0
100,1410432130123845638,1410432130123845638,"🚨 NOW STREAMING 🚨

👾: Animal Crossing
🎦: https://t.co/ABVS2HS7F4
👀: getting stoney baloney &amp; bullying WALKER and JU… https://t.co/s0KlYK1MRg",0.0
101,1410432059475169284,1410432059475169284,"@westindiedai I was all in them switch/animal crossing giveaways when the pandemic first started, ain't win SHIT 😭",0.0
109,1410431158962167812,1410431158962167812,im playing animal crossing 🏳️‍🌈🏳️‍🌈,1.0
120,1410430416532742148,1410430416532742148,RT @Crossing_Lorien: I wanna get lost in some animal crossing woods 🍃 https://t.co/ripNBbowJK,1.0
127,1410429607078100994,1410429607078100994,"RT @EverydayBewear: I suddenly realized that I had made almost all my favorite Nintendo characters into food😲 
Kirby &amp; Waddle Dee bread, Ko…",0.0
156,1410426089021743104,1410426089021743104,@meanyoonji__ NOT AN ANIMAL CROSSING/BOB MEME 😭😭😭😭😭,0.0
157,1410425934939930625,1410425934939930625,"@aspynthemermaid in case no one told you, colourpop did another animal crossing mix 👀",0.0
162,1410425683575119873,1410425683575119873,back on the animal crossing grind 😮‍💨😮‍💨😮‍💨 i feel pure serotonin running through my veins,1.0
166,1410425344130224132,1410425344130224132,🙏🏻 don’t 🙏🏻 use 🙏🏻 Amazon 🙏🏻 to 🙏🏻 buy 🙏🏻 animal 🙏🏻 crossing 🙏🏻 plushies 🙏🏻 their 🙏🏻mostly🙏🏻bootleg 🙏🏻 with 🙏🏻stock… https://t.co/7LNnfp5JBi,1.0
167,1410425249255075841,1410425249255075841,"RT @FrogLordFFS: Next week will be full of Sunday-Wednesday Streaming Fun 💛💛💛
Sun: Animal Crossing (10am PST)
Mon: Chess/Skyrim (4pm)
Tues:…",1.0
182,1410423215013330948,1410423215013330948,"@_gudetamad NO, RED abt animal crossing 💀",0.0
189,1410422341331525636,1410422341331525636,* plays animal crossing.♡︎ *,1.0
207,1410419409164853257,1410419409164853257,@_steelelin i look at the animal crossing one all the time even though i already have a regular one 😔,0.0
216,1410418224798130180,1410418224798130180,"✨We're getting cozy and building the Trees of Valor in Animal Crossing tonight! Come and say hello~

💕… https://t.co/MavGguZuTn",1.0
217,1410418182490411009,1410418182490411009,"animal crossing fans when no news for a few months: 👺
mambo fans waiting decades for mambo number 6: 🙄",0.0
220,1410418013703008257,1410418013703008257,ok but imagine an animal crossing x sylvanian families collaboration 😩 i would cry,0.0
228,1410416980176211970,1410416980176211970,ahhh the animal crossing switch is already back in stock i thought i’d have a month left to save up 😩,0.0
234,1410416168922488834,1410416168922488834,Got the Animal Crossing New Horizons soundtrack today. 😄 https://t.co/aCOro3roz3,1.0
238,1410416024642457604,1410416024642457604,he was just watching me play animal crossing then we did some tummy time (by we i mean him) 😭,0.0
272,1410411727980797955,1410411727980797955,"@MadeUpAsIGo LOL my camera roll is about 95% cats, animal crossing and RP so 🤷🏻‍♀️",1.0
279,1410410774338576387,1410410774338576387,I haven’t picked up Animal Crossing in 6mo. Should I just over or TT back to make up dates/events that I lost 😭😭,0.0
286,1410410265473019904,1410410265473019904,"RT @aroceu: #mdzs #wangxian #acnh (lol)

🐰play it by ear🐰
- ~7k, rated t
- animal crossing: new horizons au!!
- also, modern elementary sch…",1.0
287,1410409658951557127,1410409658951557127,@YoYo_4_Real When you getting on animal crossing again? 👀,0.0
306,1410407429565779969,1410407429565779969,RT @ciaraturnerart: animal crossing flower chart 🥺💐 https://t.co/60x2bKrkTp,1.0
307,1410407420447408130,1410407420447408130,"the beginning of Lunar Islands: Animal Crossing New Leaf edition! 🍃

(feat. my sick background, why doesn't the swi… https://t.co/GKwWepxZXg",1.0
312,1410407139903000577,1410407139903000577,RT @kouxhii: Forgot to post this here but #kurotsuki in animal crossing 😳😳 (for @zygosoji) https://t.co/g6R2mQ18Ja,0.0
313,1410406819265196036,1410406819265196036,Breaking News! There was a leak showing that Diddy kong is coming to Animal Crossing!🙀 https://t.co/eaVtWH0eA3,1.0
319,1410406316737241091,1410406316737241091,"me: I like video games I wanna play to unwind 😌
also me: yes Animal Crossing has 0 pressing responsibilities but wh… https://t.co/C2DIToWLh9",1.0
323,1410405842835365891,1410405842835365891,"this reminded me of that one character in animal crossing, the one who plays the guitar 💀 https://t.co/syesb5YRHK",0.0
326,1410405592087269381,1410405592087269381,@k_yourbeautiful See I would get the lite but my man told me no he wants the tv one so now I have nothing 😂 low key… https://t.co/51isJ4hliy,1.0
330,1410404962404868099,1410404962404868099,@Barbie_Crossing @Animal_Cassing I'll keep my eyes peeled for her. Praying for her safe return. 🙏🏽,1.0
336,1410404396375187463,1410404396375187463,"@VyrusCo Zelda, Fire Emblem, Animal Crossing. No hesitation😭",0.0
337,1410404276199907329,1410404276199907329,"RT @j0kerssh0e: #Loki #Mobius 
-
-
-
-
aw he’s playing animal crossing😋 https://t.co/j49zUSHuOi",1.0
338,1410404265118609409,1410404265118609409,@k_yourbeautiful I stg I just wanna play Mario kart and animal crossing like I was 12 again so bad 😭😭😭😂 I was going… https://t.co/dgV19v5yBR,1.0
342,1410403893603930113,1410403893603930113,I should be able to get box braids on animal crossing but instead i get this omg 😭😭😭 https://t.co/2jmi2MD0pd,0.0
343,1410403858459865088,1410403858459865088,"RT @BunnyBooLiv: Live in 20 for some more Animal Crossing ❤️

Sub goal is a little higher today to see if we can hit 100 this month ❤️

See…",1.0
355,1410402770369368065,1410402770369368065,"I bought manga, makeup, lush, and now I'm going to spend more money on animal crossing 😔😔",0.0
377,1410400326683967492,1410400326683967492,RT @accastaway: New leaked update for Animal Crossing 👀 https://t.co/4UdRUeXTlG,0.0
388,1410399371796099072,1410399371796099072,It’s the last day of June and I never played the wedding event in animal crossing 💀,0.0
398,1410398496855887873,1410398496855887873,@rottencloset dee nooooo ofc ur a bottom dami mutual as well but no one else talks about animal crossing or fmab okay 😭,0.0
400,1410398451809009666,1410398451809009666,"RT @amvored: Ive been working on Animal Crossing villagers fanarts ❤️‍🔥🏝
Here is Bree 💞 Isn’t she a qt?

#acnh #AnimalCrossing #bree https:…",1.0
402,1410398367537143810,1410398367537143810,That Animal Crossing pin 😭😭😭 https://t.co/el5heoYmvy,0.0
403,1410398178793431042,1410398178793431042,"games i play 💸
↳ guild wars 2 | #melplaysgw2
↳ final fantasy xiv | ffxiv #melplaysffxiv
↳ lord of the rings online… https://t.co/HTx66bxMxW",0.0
406,1410397990301409289,1410397990301409289,@gayloonafiles tysm !! they all rly suit animal crossing characters -🐰,1.0
412,1410397302804545538,1410397302804545538,@Sl4shD5 FFXIV or AND ANIMAL CROSSING WITH BEAN 😇,1.0
414,1410397172030488577,1410397172030488577,animal crossing fandom is so toxic. 🌸,1.0
420,1410396550782767109,1410396550782767109,txt &amp; stayc as animal crossing characters — a cute thread ♡ https://t.co/Dn3hyI7xCG,1.0
433,1410395442962108420,1410395442962108420,New leaked update for Animal Crossing 👀 https://t.co/4UdRUeXTlG,0.0
443,1410394711395819521,1410394711395819521,"what may these be you are all wondering? 😏 rewatching the christmas episodes of toradora, hot chocolate, and writin… https://t.co/sSqsPrETR6",1.0
453,1410393460410961924,1410393460410961924,"RT @acnh_jolly: 🚨Animal Crossing Yard Sale🚨🏷
(Small &amp; free) with @acnhjennyy @j_orleny  DM for dodo code!!",1.0
458,1410392634040934405,1410392634040934405,hyuckie gave me sm stuff on animal crossing ଘ(੭*ˊᵕˋ)੭* ੈ♡‧₊˚,1.0
459,1410392477534769152,1410392477534769152,"Ive been working on Animal Crossing villagers fanarts ❤️‍🔥🏝
Here is Bree 💞 Isn’t she a qt?

#acnh #AnimalCrossing… https://t.co/BADUXjlUL9",1.0
462,1410392428339621892,1410392428339621892,I’m addicted to Animal Crossing. 💀 I’m very aware I’m wasting so much time but I can’t stop playing LOL wtf they hi… https://t.co/qsEVwm1s7q,0.0
464,1410391850964250624,1410391850964250624,"🚨Animal Crossing Yard Sale🚨🏷
(Small &amp; free) with @acnhjennyy @j_orleny  DM for dodo code!!",1.0
470,1410390786399559682,1410390786399559682,"We are now open! 2 islands are available 💜
Rent a Animal Crossing Treasure Island now! 🥰
DM me for the price! Price… https://t.co/sc9GGeHS2C",1.0
477,1410390372421836807,1410390372421836807,"We are now open! 🟢❣️
Rent a Animal Crossing Treasure Island now! 🏝️🧁 2 islands are available 🏝️
DM me for the price… https://t.co/ZXmQSMPe6K",1.0
481,1410389859118764034,1410389859118764034,"Regular brain: tired, animal crossing, stuffies

Horny brain, out of left field: 😎pegging😎",1.0
483,1410389783784738816,1410389783784738816,"New Animal Crossing OC!♥

Is it good? https://t.co/ImMjtHAw2t",1.0
492,1410389073202585602,1410389073202585602,RT @CrisWorthington: I painted pink windflowers from Animal Crossing 🌸 GOUACHE TIMELAPSE #DigitalMarketing #DigitalMarketingTips [Video] ht…,1.0
493,1410388862518497283,1410388862518497283,"@AxieRetreat @cryptophrenic13 @AxieDAMG @Crit_Theory @ladyranvore FFBE on mobile, Animal Crossing on Switch, and PS4 games 😂",1.0
500,1410388387027161093,1410388387027161093,"RT @muffinzimuffin: i’ve made so many new muffins (followers) in the past few weeks and i wanna get to know you all better!! 🌸

soo, if you…",1.0
502,1410388318840233984,1410388318840233984,I painted pink windflowers from Animal Crossing 🌸 GOUACHE TIMELAPSE #DigitalMarketing #DigitalMarketingTips [Video] https://t.co/IrbEbpmKCp,1.0
513,1410387390124859393,1410387390124859393,@makeupACplayer I am that animal crossing player lol I always feel bad when I accidentally hit them 😆,1.0
516,1410387067410993152,1410387067410993152,"i’ve made so many new muffins (followers) in the past few weeks and i wanna get to know you all better!! 🌸

soo, if… https://t.co/AHXVA48dEQ",1.0
551,1410382088218550273,1410382088218550273,"what do u all do in free time? i usually play some minecraft, animal crossing and roblox 😭",0.0
