,id,id_str,text,Emoji_Sentiment
1,1410594769592483841,1410594769592483841,"RT @geheichou: Link - Breath of the Wild 2 🍃
#botw2 #cosplay https://t.co/uKiJbqDDC7",1.0
35,1410443311672922113,1410443311672922113,"No wonder they made breath of the wild 2, had to give link extra space to run from this fiend😞 https://t.co/WAhH5KZJiN",0.0
46,1410408828781436928,1410408828781436928,"What are 10 video games that changed your life? 🎮

1) Witcher 3
2) Zelda Breath of the Wild 
3) Nba 2k14
4) Journey… https://t.co/2T5keW2H9Y",1.0
56,1410380455564644352,1410380455564644352,"RT @Arda: What are 5 video games that changed your life? 🎮

1) NHL 94 / NHL series
2) Tetris
3) Super Mario Bros
4) Zelda Breath of the Wil…",1.0
69,1410352394253357059,1410352394253357059,"RT @pyrofennec_: Breath of The Wild 2 stickers!🐶
⬇️⬇️⬇️
https://t.co/EXBoNbMLMy

#botw2 #BreathoftheWild2 #BOTW #botw2fanart https://t.co/I…",1.0
71,1410350149063348224,1410350149063348224,"RT @rosegoldjelly: FINALLY! Breath of the Wild 2 goodness blessed my soul 🥳 
Soon my Zelda with short hair enamel pin will make sense 👩‍🦳✨…",1.0
78,1410338527179649035,1410338527179649035,"What are 5 video games that changed your life? 🎮

1) NHL 94 / NHL series
2) Tetris
3) Super Mario Bros
4) Zelda Bre… https://t.co/tpKjAHygSc",1.0
100,1410262635824746501,1410262635824746501,@AirCityStudios Kirby: the new hero of Breath of the Wild 2! 😊,1.0
115,1410220461829537794,1410220461829537794,"Giorno 2: Tristezza
Ma ho solo due screen, al momento. QWINDY RIP.
From Breath of the Wild e Gris🌛 https://t.co/wEGrZXOrK9",1.0
153,1410066518818308105,1410066518818308105,@Holor_ This is why one waits for Breath of the wild 2 😉 https://t.co/1t7iFWPOvY,1.0
184,1409988894876213256,1409988894876213256,"96 Twink Link Secrets You Haven’t Unlocked Yet in Breath Of The Wild 😛 
Published 2 days ago https://t.co/BkA6h1ramz",1.0
195,1409975587700187143,1409975587700187143,"@JackaryDraws 🎮 Kingdom Come: Deliverance
👀 Breath of the Wild 2
💆 I'm a magician",1.0
196,1409971455995965440,1409971455995965440,"RT @PizzaOmNom: Ohai I'm live a little late because of dang update/audio stuffles but I AM HERE AND FIERCE! 😈
And since my PC went wild and…",1.0
198,1409970896014565379,1409970896014565379,"Ohai I'm live a little late because of dang update/audio stuffles but I AM HERE AND FIERCE! 😈
And since my PC went… https://t.co/BRF2tA1QSk",1.0
205,1409949611490435073,1409949611490435073,I’ve definitely watched these Breath of The Wild 2 trailers an unhealthy amount of times 🔥,0.0
225,1409910213147201537,1409910213147201537,RT @Colorpeace10: @cherryjellymm Beauty and Elegance! I hope you will love The Legend of Zelda Breath of The Wild 2. ❤️ https://t.co/KQksxc…,1.0
249,1409854387162390528,1409854387162390528,"RT @RickLee84: @xwatergaming The 5 games that shaped my gaming journey...

🍄 Super Mario Bros. 3
🦔 Sonic The Hedgehog 2
🦖 Super Mario World…",0.0
250,1409846722394791944,1409846722394791944,"@xwatergaming The 5 games that shaped my gaming journey...

🍄 Super Mario Bros. 3
🦔 Sonic The Hedgehog 2
🦖 Super Ma… https://t.co/dA4oeduQdN",0.0
284,1409706416881864709,1409706416881864709,RT @GameSpot: 6 things you probably missed in the latest Legend of Zelda: Breath of the Wild 2 reveal! 🔍👀 https://t.co/4OtRCBSqdD,0.0
300,1409678616699432973,1409678616699432973,sometimes it hits me out of nowhere that we're getting breath of the wild 2 AND splat 3 next year and i get so happy 😭😭😭😭,0.0
317,1409655532382670848,1409655532382670848,RT @usernameexejpg: The Legend of Zelda: Breath of the Wild 2 appreciation post ☁️🗡️🛡️✨ https://t.co/4ViLBERLyu,1.0
318,1409652514874527747,1409652514874527747,"RT @mamura_senpai_: ⚔️In honor of Breath of the Wild 2 trailer on E3⚔️
Waiting for 2022!
Zelda @sweetfox666🌸
Ph by @Gaerwen_art
 
#zelda35t…",1.0
349,1409581585590984735,1409581585590984735,#Zelda #SkywardSwordHD is coming!!! Of course I have to repost my OC cosplay to celebrate 🥰😬 I can’t believe I mana… https://t.co/e2If4FvcNZ,0.0
352,1409575170142969876,1409575170142969876,@LitUnPlay Breath of the Wild 2 sequel? i thought they had only just announced BotW2 👀,0.0
393,1409460846892310530,1409460846892310530,The Legend Of Zelda: Breath Of The Wild 2 😎😎 https://t.co/uTTU1mfH8A,1.0
403,1409416207112052739,1409416207112052739,Can't be hyped for Breath of The Wild 2 without wearing Link's champion hoodie 😌✌🏼 https://t.co/fFLhBPPNek,1.0
409,1409401442289569793,1409401442289569793,"RT @FroggyTheMii: Hello I’m Froggy🐸-video games and loves art 

(My Favorites)
1. Super smash bros ultimate 
2. Minecraft 💎⛏
3. Fire Emblem…",1.0
419,1409368459524251652,1409368459524251652,6 things you probably missed in the latest Legend of Zelda: Breath of the Wild 2 reveal! 🔍👀 https://t.co/4OtRCBSqdD,0.0
442,1409311112990965761,1409311112990965761,Starfield и the Legend of Zelda: Breath of the Wild 2 🌚🌚🌚 https://t.co/SbbRuK2XQb,1.0
456,1409271161859547136,1409271161859547136,"Games that made me the gamer I am: 

🎮 Crash Bandicoot N-Sane Trilogy
🎮 Sonic Adventure 2
🎮 Dragon Quest XI (11) 
🎮… https://t.co/iw7hvoS9FE",1.0
476,1409228009668636673,1409228009668636673,"RT @blueshell_yt: New Video By Blue Shell!✨
Ganon's Last Appearance? | Breath of the Wild 2 THEORY (E3 2021) 
https://t.co/1naY7185Jd",1.0
477,1409226186203488256,1409226186203488256,"New Video By Blue Shell!✨
Ganon's Last Appearance? | Breath of the Wild 2 THEORY (E3 2021) 
https://t.co/1naY7185Jd",1.0
491,1409195868968742912,1409195868968742912,@Wario64 Breath of the wild 2 up for pre order on Amazon 👀,0.0
501,1409180732141064200,1409180732141064200,"🔞Zelda Breath of the Wild 2 taking a break in the cave ( ͡° ͜ʖ ͡°) (Upgraded)

There were some small things I didn'… https://t.co/FCwmriiRG8",0.0
514,1409157294789521410,1409157294789521410,"https://t.co/Lo1ZMrSpNQ
Young Ganondorf as the first-ever Champion in the fansy blue tunic? 👀 
If the post isn't ca… https://t.co/i1dPeJBvZ3",0.0
531,1409068219764199426,1409068219764199426,RT @bellhenge: Winter Zelda(2) [Zelda: Breath of the Wild] ❄️ https://t.co/33fY9k0JQ2,1.0
549,1409010966323335169,1409010966323335169,@cherryjellymm Beauty and Elegance! I hope you will love The Legend of Zelda Breath of The Wild 2. ❤️ https://t.co/KQksxcZ6j4,1.0
577,1408902405857501187,1408902405857501187,"RT @Feemsart: so hyped for breath of the wild 2!! cant wait to see link become the main character from a ghibli movie ⛅️⚡️

#botw2 #botw ht…",1.0
